t,acc
11.66,-5.18E-02
11.67,-6.99E-02
11.68,-4.66E-02
11.69,-7.19E-02
11.7,-1.23E-01
11.71,-6.94E-02
11.72,-6.37E-02
11.73,-6.90E-02
11.74,-3.63E-02
11.75,-5.89E-02
11.76,-7.56E-02
11.77,-8.98E-02
11.78,-1.08E-01
11.79,-8.17E-02
11.8,-4.28E-02
11.81,-3.31E-02
11.82,-5.91E-02
11.83,-9.74E-02
11.84,-9.18E-02
11.85,-6.89E-02
11.86,-5.19E-02
11.87,-4.20E-02
11.88,-1.02E-01
11.89,-1.04E-01
11.9,-3.64E-02
11.91,-4.29E-02
11.92,-5.98E-02
11.93,-8.90E-02
11.94,-1.09E-01
11.95,-7.22E-02
11.96,-4.71E-02
11.97,-6.91E-02
11.98,-8.39E-02
11.99,-7.08E-02
12,-7.96E-02
12.01,-6.09E-02
12.02,-5.20E-02
12.03,-8.30E-02
12.04,-8.31E-02
12.05,-6.34E-02
12.06,-6.64E-02
12.07,-8.32E-02
12.08,-6.02E-02
12.09,-7.37E-02
12.1,-8.08E-02
12.11,-5.20E-02
12.12,-7.85E-02
12.13,-7.62E-02
12.14,-5.80E-02
12.15,-5.55E-02
12.16,-6.95E-02
12.17,-9.83E-02
12.18,-8.16E-02
12.19,-7.32E-02
12.2,-5.00E-02
12.21,-5.10E-02
12.22,-9.82E-02
12.23,-9.61E-02
12.24,-7.75E-02
12.25,-3.18E-02
12.26,-5.76E-02
12.27,-9.38E-02
12.28,-5.75E-02
12.29,-7.53E-02
12.3,-4.79E-02
12.31,-3.50E-02
12.32,-5.27E-02
12.33,-4.82E-02
12.34,-1.15E-01
12.35,-1.03E-01
12.36,-4.97E-02
12.37,-4.18E-02
12.38,-5.25E-02
12.39,-6.20E-02
12.4,-4.21E-02
12.41,-1.36E-01
12.42,-1.55E-01
12.43,-7.32E-02
12.44,-7.98E-02
12.45,-5.83E-02
12.46,-1.15E-01
12.47,-1.40E-01
12.48,-9.86E-02
12.49,-1.45E-01
12.5,-5.68E-02
12.51,-5.75E-02
12.52,-1.47E-01
12.53,3.20E-03
12.54,-1.88E-02
12.55,-3.31E-02
12.56,6.33E-02
12.57,-4.15E-03
12.58,6.55E-02
12.59,3.98E-02
12.6,1.56E-02
12.61,1.03E-02
12.62,-5.88E-02
12.63,-3.20E-02
12.64,-9.81E-02
12.65,-1.32E-01
12.66,-2.47E-01
12.67,-2.58E-01
12.68,-2.37E-01
12.69,-2.88E-01
12.7,-2.15E-01
12.71,-2.70E-01
12.72,-2.37E-01
12.73,-1.74E-01
12.74,-2.04E-01
12.75,-1.21E-01
12.76,-5.73E-02
12.77,-9.51E-02
12.78,-4.01E-02
12.79,6.54E-02
12.8,-9.20E-03
12.81,-4.45E-02
12.82,-1.93E-02
12.83,-4.57E-02
12.84,4.09E-02
12.85,7.55E-02
12.86,5.67E-02
12.87,4.25E-02
12.88,-2.71E-02
12.89,6.29E-02
12.9,6.18E-02
12.91,-4.94E-02
12.92,-9.96E-02
12.93,-2.42E-01
12.94,-1.70E-01
12.95,-1.00E-01
12.96,-2.28E-01
12.97,-1.13E-01
12.98,2.43E-03
12.99,-7.79E-02
13,-9.76E-02
13.01,-9.17E-02
13.02,-1.25E-01
13.03,-1.10E-01
13.04,-3.06E-02
13.05,-2.54E-03
13.06,-9.78E-03
13.07,4.95E-02
13.08,4.37E-03
13.09,-1.22E-01
13.1,-1.51E-01
13.11,-2.50E-01
13.12,-3.41E-01
13.13,-2.84E-01
13.14,-2.47E-01
13.15,-9.70E-02
13.16,1.21E-01
13.17,1.99E-01
13.18,1.50E-01
13.19,8.26E-02
13.2,1.33E-01
13.21,1.34E-01
13.22,1.30E-01
13.23,1.90E-01
13.24,2.37E-01
13.25,2.74E-01
13.26,2.58E-01
13.27,5.97E-02
13.28,-1.79E-01
13.29,-2.46E-01
13.3,-5.08E-01
13.31,-7.07E-01
13.32,-6.89E-01
13.33,-7.74E-01
13.34,-6.94E-01
13.35,-5.60E-01
13.36,-5.39E-01
13.37,-4.69E-01
13.38,-3.52E-01
13.39,-1.62E-01
13.4,6.95E-02
13.41,4.23E-01
13.42,7.99E-01
13.43,7.92E-01
13.44,6.92E-01
13.45,7.55E-01
13.46,5.81E-01
13.47,2.83E-01
13.48,2.74E-01
13.49,2.93E-01
13.5,3.18E-02
13.51,-1.42E-01
13.52,-3.45E-01
13.53,-8.36E-01
13.54,-1.01E+00
13.55,-9.81E-01
13.56,-9.48E-01
13.57,-6.56E-01
13.58,-3.72E-01
13.59,-1.90E-01
13.6,-1.03E-02
13.61,2.01E-01
13.62,2.79E-01
13.63,2.82E-01
13.64,2.62E-01
13.65,8.25E-02
13.66,9.22E-02
13.67,1.06E-01
13.68,2.64E-02
13.69,1.73E-03
13.7,4.81E-03
13.71,1.39E-01
13.72,1.46E-02
13.73,-1.26E-01
13.74,1.92E-02
13.75,7.77E-02
13.76,-6.03E-02
13.77,-1.74E-01
13.78,-4.95E-02
13.79,-4.01E-02
13.8,-1.37E-01
13.81,-1.97E-02
13.82,2.79E-01
13.83,2.89E-01
13.84,-3.03E-03
13.85,4.26E-03
13.86,-2.21E-01
13.87,-7.01E-01
13.88,-8.38E-01
13.89,-6.92E-01
13.9,-2.37E-01
13.91,1.47E-01
13.92,3.38E-01
13.93,3.59E-01
13.94,1.85E-01
13.95,1.57E-01
13.96,4.44E-02
13.97,-3.03E-01
13.98,-4.07E-01
13.99,-2.23E-01
14,-1.79E-01
14.01,-1.17E-01
14.02,-2.25E-02
14.03,9.84E-02
14.04,2.14E-01
14.05,-1.82E-01
14.06,-2.98E-01
14.07,-3.51E-02
14.08,2.56E-02
14.09,1.69E-01
14.1,3.45E-01
14.11,5.96E-01
14.12,4.12E-01
14.13,-4.53E-02
14.14,-2.73E-01
14.15,-3.99E-01
14.16,-3.44E-01
14.17,-4.89E-01
14.18,-5.20E-01
14.19,-4.28E-01
14.2,-3.66E-01
14.21,-2.72E-01
14.22,-3.90E-01
14.23,-2.91E-01
14.24,-1.22E-01
14.25,1.15E-02
14.26,7.13E-02
14.27,7.51E-02
14.28,3.32E-01
14.29,6.61E-01
14.3,8.70E-01
14.31,6.17E-01
14.32,1.48E-01
14.33,-1.03E-01
14.34,-3.16E-01
14.35,-4.73E-01
14.36,-3.39E-01
14.37,-1.04E-01
14.38,-1.43E-01
14.39,-3.86E-01
14.4,-6.44E-01
14.41,-7.09E-01
14.42,-6.57E-01
14.43,-5.40E-01
14.44,-2.53E-01
14.45,-7.49E-02
14.46,6.46E-02
14.47,2.25E-01
14.48,2.72E-01
14.49,4.33E-01
14.5,5.63E-01
14.51,2.99E-01
14.52,1.42E-01
14.53,1.36E-01
14.54,-2.15E-01
14.55,-2.82E-01
14.56,-1.05E-01
14.57,-1.29E-01
14.58,-1.92E-01
14.59,-3.17E-01
14.6,-1.52E-01
14.61,7.55E-04
14.62,-9.27E-02
14.63,3.78E-02
14.64,8.90E-02
14.65,-4.15E-02
14.66,-2.31E-01
14.67,-3.90E-01
14.68,-1.36E-01
14.69,2.40E-01
14.7,3.68E-01
14.71,3.15E-01
14.72,-2.32E-02
14.73,-3.70E-01
14.74,-4.48E-01
14.75,-5.41E-01
14.76,-4.77E-01
14.77,-1.19E-01
14.78,3.27E-01
14.79,5.91E-01
14.8,4.72E-01
14.81,4.02E-01
14.82,3.82E-01
14.83,2.74E-01
14.84,2.19E-01
14.85,6.28E-02
14.86,-2.64E-01
14.87,-4.39E-01
14.88,-3.90E-01
14.89,-5.96E-01
14.9,-6.43E-01
14.91,-6.18E-01
14.92,-7.38E-01
14.93,-4.09E-01
14.94,-1.54E-01
14.95,1.89E-01
14.96,6.89E-01
14.97,7.62E-01
14.98,5.89E-01
14.99,2.42E-01
15,-7.14E-02
15.01,-3.25E-01
15.02,-4.82E-01
15.03,-5.60E-01
15.04,-5.77E-01
15.05,-4.64E-01
15.06,-4.51E-01
15.07,-2.78E-01
15.08,-1.97E-01
15.09,-6.65E-01
15.1,-8.98E-01
15.11,-3.40E-01
15.12,3.15E-01
15.13,5.58E-01
15.14,7.84E-01
15.15,1.06E+00
15.16,8.24E-01
15.17,1.37E-01
15.18,-4.08E-01
15.19,-8.06E-01
15.2,-1.02E+00
15.21,-9.11E-01
15.22,-7.11E-01
15.23,-4.16E-01
15.24,1.31E-01
15.25,4.99E-01
15.26,4.55E-01
15.27,3.22E-01
15.28,7.08E-02
15.29,4.00E-02
15.3,1.04E-02
15.31,-5.28E-01
15.32,-7.98E-01
15.33,-7.11E-01
15.34,-5.00E-01
15.35,-2.30E-01
15.36,-2.65E-01
15.37,-2.36E-01
15.38,-1.04E-01
15.39,6.40E-02
15.4,3.50E-01
15.41,4.98E-01
15.42,6.08E-01
15.43,6.91E-01
15.44,6.19E-01
15.45,3.84E-01
15.46,-2.59E-02
15.47,-4.91E-01
15.48,-7.04E-01
15.49,-6.20E-01
15.5,-5.77E-01
15.51,-6.80E-01
15.52,-8.79E-01
15.53,-1.10E+00
15.54,-1.12E+00
15.55,-9.57E-01
15.56,-7.86E-01
15.57,-6.15E-01
15.58,-3.48E-01
15.59,3.95E-03
15.6,1.57E-01
15.61,2.54E-01
15.62,3.87E-01
15.63,2.07E-01
15.64,-2.05E-02
15.65,-3.42E-01
15.66,-5.70E-01
15.67,-2.81E-01
15.68,8.00E-02
15.69,6.68E-01
15.7,1.07E+00
15.71,8.13E-01
15.72,5.75E-01
15.73,-9.55E-02
15.74,-1.10E+00
15.75,-1.47E+00
15.76,-1.59E+00
15.77,-1.61E+00
15.78,-1.31E+00
15.79,-1.13E+00
15.8,-9.94E-01
15.81,-7.80E-01
15.82,-4.30E-01
15.83,2.03E-01
15.84,5.44E-01
15.85,8.02E-01
15.86,1.54E+00
15.87,2.11E+00
15.88,1.94E+00
15.89,1.62E+00
15.9,1.84E+00
15.91,1.88E+00
15.92,1.47E+00
15.93,1.11E+00
15.94,7.70E-01
15.95,6.56E-01
15.96,4.66E-01
15.97,5.43E-03
15.98,-2.41E-01
15.99,-3.32E-01
16,-5.69E-01
16.01,-9.59E-01
16.02,-1.31E+00
16.03,-1.30E+00
16.04,-8.78E-01
16.05,-4.59E-01
16.06,-4.00E-02
16.07,3.03E-01
16.08,1.67E-01
16.09,-4.80E-01
16.1,-8.41E-01
16.11,-4.99E-01
16.12,-6.75E-01
16.13,-9.30E-01
16.14,3.90E-02
16.15,9.00E-01
16.16,5.40E-01
16.17,3.44E-03
16.18,2.46E-01
16.19,2.94E-01
16.2,-8.62E-02
16.21,3.69E-01
16.22,7.83E-01
16.23,3.46E-01
16.24,2.29E-01
16.25,5.43E-01
16.26,8.79E-01
16.27,1.16E+00
16.28,9.63E-01
16.29,5.54E-01
16.3,-3.09E-01
16.31,-1.72E+00
16.32,-2.35E+00
16.33,-2.12E+00
16.34,-1.51E+00
16.35,-4.28E-01
16.36,8.32E-01
16.37,1.53E+00
16.38,1.57E+00
16.39,1.78E+00
16.4,1.91E+00
16.41,1.11E+00
16.42,-1.33E-01
16.43,-8.27E-01
16.44,-1.09E+00
16.45,-1.51E+00
16.46,-1.95E+00
16.47,-2.33E+00
16.48,-2.56E+00
16.49,-2.41E+00
16.5,-1.93E+00
16.51,-1.27E+00
16.52,-9.94E-01
16.53,-5.32E-01
16.54,9.05E-01
16.55,2.47E+00
16.56,3.24E+00
16.57,2.84E+00
16.58,2.32E+00
16.59,1.86E+00
16.6,4.97E-01
16.61,-4.50E-02
16.62,2.74E-01
16.63,-3.78E-01
16.64,-9.10E-01
16.65,-1.38E+00
16.66,-1.53E+00
16.67,-6.08E-01
16.68,-5.51E-01
16.69,-2.03E-01
16.7,1.43E+00
16.71,2.26E+00
16.72,2.48E+00
16.73,2.74E+00
16.74,2.30E+00
16.75,6.93E-01
16.76,-1.17E+00
16.77,-2.64E+00
16.78,-3.96E+00
16.79,-4.73E+00
16.8,-4.86E+00
16.81,-4.17E+00
16.82,-2.66E+00
16.83,-1.70E+00
16.84,-1.15E+00
16.85,2.76E-01
16.86,1.09E+00
16.87,1.01E+00
16.88,1.95E+00
16.89,2.81E+00
16.9,3.07E+00
16.91,3.50E+00
16.92,3.82E+00
16.93,3.09E+00
16.94,6.19E-01
16.95,-1.97E+00
16.96,-3.67E+00
16.97,-4.33E+00
16.98,-3.33E+00
16.99,-1.61E+00
17,2.41E-01
17.01,1.70E+00
17.02,2.22E+00
17.03,2.70E+00
17.04,2.93E+00
17.05,3.04E+00
17.06,3.30E+00
17.07,2.53E+00
17.08,1.17E+00
17.09,8.02E-02
17.1,-6.68E-01
17.11,-1.45E+00
17.12,-2.68E+00
17.13,-3.29E+00
17.14,-2.74E+00
17.15,-1.55E+00
17.16,3.69E-01
17.17,2.29E+00
17.18,4.00E+00
17.19,5.74E+00
17.2,5.75E+00
17.21,4.04E+00
17.22,2.65E+00
17.23,1.33E+00
17.24,-6.08E-01
17.25,-2.83E+00
17.26,-4.55E+00
17.27,-4.65E+00
17.28,-3.90E+00
17.29,-4.25E+00
17.3,-5.89E+00
17.31,-6.97E+00
17.32,-5.65E+00
17.33,-3.14E+00
17.34,-7.78E-01
17.35,2.26E+00
17.36,5.19E+00
17.37,6.89E+00
17.38,7.42E+00
17.39,6.70E+00
17.4,5.05E+00
17.41,3.13E+00
17.42,1.14E+00
17.43,-6.89E-01
17.44,-2.19E+00
17.45,-3.58E+00
17.46,-3.72E+00
17.47,-2.63E+00
17.48,-1.97E+00
17.49,-1.84E+00
17.5,-1.57E+00
17.51,-7.55E-01
17.52,6.76E-01
17.53,2.37E+00
17.54,3.19E+00
17.55,2.83E+00
17.56,2.28E+00
17.57,1.28E+00
17.58,-6.38E-01
17.59,-2.74E+00
17.6,-3.80E+00
17.61,-3.32E+00
17.62,-2.80E+00
17.63,-2.83E+00
17.64,-2.46E+00
17.65,-2.20E+00
17.66,-2.14E+00
17.67,-2.01E+00
17.68,-2.14E+00
17.69,-1.44E+00
17.7,5.75E-02
17.71,7.54E-01
17.72,1.13E+00
17.73,1.62E+00
17.74,1.93E+00
17.75,2.07E+00
17.76,1.33E+00
17.77,5.92E-01
17.78,7.32E-01
17.79,1.50E+00
17.8,2.85E+00
17.81,2.76E+00
17.82,1.44E+00
17.83,7.57E-01
17.84,3.45E-01
17.85,3.58E-01
17.86,2.06E-01
17.87,-4.98E-01
17.88,-1.23E+00
17.89,-2.65E+00
17.9,-3.91E+00
17.91,-4.05E+00
17.92,-2.78E+00
17.93,-6.81E-01
17.94,-3.36E-01
17.95,1.85E-03
17.96,2.09E+00
17.97,2.45E+00
17.98,2.69E+00
17.99,4.57E+00
18,4.32E+00
18.01,3.07E+00
18.02,2.93E+00
18.03,2.48E+00
18.04,8.68E-01
18.05,-6.38E-01
18.06,-5.98E-01
18.07,-1.30E+00
18.08,-2.74E+00
18.09,-3.75E+00
18.1,-4.63E+00
18.11,-3.61E+00
18.12,-1.75E+00
18.13,2.28E-01
18.14,2.95E+00
18.15,4.71E+00
18.16,4.80E+00
18.17,3.70E+00
18.18,2.60E+00
18.19,6.67E-01
18.2,-2.33E+00
18.21,-4.01E+00
18.22,-3.90E+00
18.23,-3.64E+00
18.24,-4.22E+00
18.25,-3.64E+00
18.26,-1.95E+00
18.27,-1.82E+00
18.28,-2.52E+00
18.29,-1.45E+00
18.3,4.05E-01
18.31,4.75E-01
18.32,1.43E+00
18.33,3.88E+00
18.34,4.84E+00
18.35,5.47E+00
18.36,4.87E+00
18.37,2.50E+00
18.38,7.09E-01
18.39,-1.40E+00
18.4,-3.50E+00
18.41,-5.05E+00
18.42,-5.99E+00
18.43,-4.98E+00
18.44,-3.79E+00
18.45,-2.28E+00
18.46,-5.21E-01
18.47,-3.17E-01
18.48,5.98E-01
18.49,1.37E+00
18.5,1.68E+00
18.51,3.55E+00
18.52,4.48E+00
18.53,3.64E+00
18.54,1.99E+00
18.55,-1.27E-02
18.56,-1.92E+00
18.57,-3.33E+00
18.58,-3.01E+00
18.59,-2.26E+00
18.6,-3.26E+00
18.61,-5.18E+00
18.62,-5.56E+00
18.63,-3.93E+00
18.64,-2.26E+00
18.65,-7.11E-01
18.66,1.18E+00
18.67,2.57E+00
18.68,2.82E+00
18.69,1.91E+00
18.7,2.50E+00
18.71,4.10E+00
18.72,3.28E+00
18.73,3.03E+00
18.74,3.97E+00
18.75,3.12E+00
18.76,2.97E+00
18.77,3.22E+00
18.78,1.34E+00
18.79,-3.00E-01
18.8,-1.27E+00
18.81,-2.66E+00
18.82,-3.92E+00
18.83,-5.67E+00
18.84,-5.92E+00
18.85,-3.20E+00
18.86,-3.24E-01
18.87,1.34E+00
18.88,2.31E+00
18.89,3.33E+00
18.9,3.99E+00
18.91,2.80E+00
18.92,1.72E+00
18.93,2.73E+00
18.94,3.38E+00
18.95,2.43E+00
18.96,5.85E-01
18.97,-6.62E-01
18.98,-7.83E-01
18.99,-1.86E+00
19,-2.26E+00
19.01,-1.96E+00
19.02,-3.01E+00
19.03,-2.82E+00
19.04,-2.57E+00
19.05,-2.75E+00
19.06,-9.81E-01
19.07,9.93E-02
19.08,8.07E-01
19.09,3.22E+00
19.1,4.70E+00
19.11,3.47E+00
19.12,1.39E+00
19.13,9.62E-01
19.14,8.64E-01
19.15,-2.45E-01
19.16,-7.86E-01
19.17,-7.39E-01
19.18,-7.90E-01
19.19,-1.73E+00
19.2,-2.75E+00
19.21,-1.01E+00
19.22,2.01E+00
19.23,2.60E+00
19.24,1.84E+00
19.25,9.47E-01
19.26,4.56E-01
19.27,1.28E+00
19.28,1.98E+00
19.29,3.27E+00
19.3,4.55E+00
19.31,4.44E+00
19.32,3.78E+00
19.33,1.25E+00
19.34,-1.74E+00
19.35,-4.07E+00
19.36,-5.81E+00
19.37,-4.87E+00
19.38,-2.87E+00
19.39,-9.18E-01
19.4,9.72E-01
19.41,2.33E+00
19.42,3.96E+00
19.43,4.07E+00
19.44,3.46E+00
19.45,3.08E+00
19.46,3.02E-01
19.47,-2.53E+00
19.48,-2.89E+00
19.49,-1.80E+00
19.5,-2.41E-01
19.51,-1.05E-01
19.52,-1.71E+00
19.53,-3.16E+00
19.54,-2.84E+00
19.55,-1.03E+00
19.56,5.71E-01
19.57,2.02E+00
19.58,4.11E+00
19.59,6.91E+00
19.6,8.68E+00
19.61,8.86E+00
19.62,9.38E+00
19.63,8.11E+00
19.64,4.71E+00
19.65,2.46E+00
19.66,-3.16E-01
19.67,-3.68E+00
19.68,-4.46E+00
19.69,-4.16E+00
19.7,-5.17E+00
19.71,-6.30E+00
19.72,-6.15E+00
19.73,-5.46E+00
19.74,-5.20E+00
19.75,-4.17E+00
19.76,-2.37E+00
19.77,-1.63E+00
19.78,-5.30E-01
19.79,2.27E+00
19.8,5.12E+00
19.81,6.30E+00
19.82,5.72E+00
19.83,5.32E+00
19.84,4.35E+00
19.85,1.12E+00
19.86,-1.24E+00
19.87,-1.15E+00
19.88,-1.74E+00
19.89,-3.37E+00
19.9,-3.44E+00
19.91,-1.38E+00
19.92,4.80E-01
19.93,-1.00E-01
19.94,-1.35E+00
19.95,-8.01E-01
19.96,-1.42E-01
19.97,-5.21E-01
19.98,1.41E+00
19.99,4.74E+00
20,5.59E+00
20.01,5.48E+00
20.02,4.91E+00
20.03,3.70E+00
20.04,3.26E+00
20.05,2.96E+00
20.06,1.22E+00
20.07,-1.31E+00
20.08,-2.78E+00
20.09,-4.69E+00
20.1,-6.87E+00
20.11,-6.84E+00
20.12,-6.37E+00
20.13,-6.71E+00
20.14,-5.87E+00
20.15,-2.54E+00
20.16,1.70E+00
20.17,4.04E+00
20.18,5.54E+00
20.19,7.05E+00
20.2,4.40E+00
20.21,-2.18E+00
20.22,-7.01E+00
20.23,-8.88E+00
20.24,-9.48E+00
20.25,-8.40E+00
20.26,-5.30E+00
20.27,-4.95E-01
20.28,2.64E+00
20.29,1.07E+00
20.3,-3.81E-01
20.31,-4.43E-01
20.32,-1.04E+00
20.33,7.15E-01
20.34,3.98E+00
20.35,5.98E+00
20.36,5.87E+00
20.37,3.74E+00
20.38,1.28E+00
20.39,9.50E-01
20.4,1.31E+00
20.41,-7.85E-02
20.42,4.17E-01
20.43,2.51E-01
20.44,-1.50E+00
20.45,1.21E+00
20.46,4.23E+00
20.47,5.68E+00
20.48,6.86E+00
20.49,5.79E+00
20.5,5.06E+00
20.51,5.35E+00
20.52,5.52E+00
20.53,3.65E+00
20.54,-1.69E+00
20.55,-6.39E+00
20.56,-8.31E+00
20.57,-9.16E+00
20.58,-8.94E+00
20.59,-7.60E+00
20.6,-6.20E+00
20.61,-3.79E+00
20.62,-1.09E+00
20.63,4.94E-02
20.64,2.61E+00
20.65,5.50E+00
20.66,4.60E+00
20.67,3.46E+00
20.68,4.93E+00
20.69,5.44E+00
20.7,3.31E+00
20.71,2.04E+00
20.72,1.77E+00
20.73,1.16E+00
20.74,3.24E+00
20.75,6.46E+00
20.76,7.94E+00
20.77,6.62E+00
20.78,3.39E+00
20.79,3.15E+00
20.8,3.00E+00
20.81,7.83E-01
20.82,8.46E-01
20.83,1.30E+00
20.84,7.81E-02
20.85,-1.35E+00
20.86,-2.67E+00
20.87,-4.93E+00
20.88,-8.62E+00
20.89,-1.27E+01
20.9,-1.44E+01
20.91,-1.12E+01
20.92,-5.61E+00
20.93,-1.40E+00
20.94,2.43E+00
20.95,4.97E+00
20.96,4.63E+00
20.97,3.39E+00
20.98,2.38E+00
20.99,3.20E+00
21,6.34E+00
21.01,8.34E+00
21.02,6.92E+00
21.03,5.63E+00
21.04,6.74E+00
21.05,4.27E+00
21.06,-1.03E+00
21.07,-2.81E+00
21.08,-2.60E+00
21.09,-2.98E+00
21.1,-4.21E+00
21.11,-4.80E+00
21.12,-2.46E+00
21.13,1.80E+00
21.14,4.39E+00
21.15,5.00E+00
21.16,5.95E+00
21.17,4.28E+00
21.18,2.83E+00
21.19,6.71E+00
21.2,8.12E+00
21.21,6.86E+00
21.22,8.09E+00
21.23,6.35E+00
21.24,2.53E+00
21.25,-1.46E-01
21.26,-4.22E+00
21.27,-7.06E+00
21.28,-7.57E+00
21.29,-7.68E+00
21.3,-8.57E+00
21.31,-9.68E+00
21.32,-6.31E+00
21.33,-3.49E+00
21.34,-4.28E+00
21.35,-1.34E+00
21.36,4.56E+00
21.37,8.19E+00
21.38,7.10E+00
21.39,6.04E+00
21.4,8.94E+00
21.41,1.11E+01
21.42,1.09E+01
21.43,9.43E+00
21.44,7.22E+00
21.45,5.53E+00
21.46,1.61E+00
21.47,-3.16E+00
21.48,-5.77E+00
21.49,-1.00E+01
21.5,-1.52E+01
21.51,-1.86E+01
21.52,-2.12E+01
21.53,-2.13E+01
21.54,-1.78E+01
21.55,-1.17E+01
21.56,-6.79E+00
21.57,-1.47E+00
21.58,4.76E+00
21.59,8.11E+00
21.6,1.05E+01
21.61,1.17E+01
21.62,1.56E+01
21.63,2.05E+01
21.64,1.71E+01
21.65,1.37E+01
21.66,1.38E+01
21.67,8.83E+00
21.68,1.62E+00
21.69,-4.17E+00
21.7,-1.11E+01
21.71,-1.88E+01
21.72,-2.32E+01
21.73,-2.29E+01
21.74,-1.94E+01
21.75,-1.40E+01
21.76,-6.69E+00
21.77,7.32E-01
21.78,6.78E+00
21.79,1.28E+01
21.8,1.74E+01
21.81,2.11E+01
21.82,2.17E+01
21.83,1.57E+01
21.84,9.06E+00
21.85,1.71E+00
21.86,-5.34E+00
21.87,-1.23E+01
21.88,-1.97E+01
21.89,-2.17E+01
21.9,-2.37E+01
21.91,-2.62E+01
21.92,-2.04E+01
21.93,-1.10E+01
21.94,-5.23E+00
21.95,3.23E+00
21.96,1.50E+01
21.97,1.99E+01
21.98,1.83E+01
21.99,1.80E+01
22,2.23E+01
22.01,2.35E+01
22.02,1.95E+01
22.03,1.56E+01
22.04,9.78E+00
22.05,6.12E-01
22.06,-1.03E+01
22.07,-2.09E+01
22.08,-2.63E+01
22.09,-2.42E+01
22.1,-2.01E+01
22.11,-1.70E+01
22.12,-1.11E+01
22.13,-4.28E+00
22.14,1.91E+00
22.15,4.84E+00
22.16,9.10E+00
22.17,1.93E+01
22.18,2.13E+01
22.19,1.59E+01
22.2,1.52E+01
22.21,1.30E+01
22.22,5.22E+00
22.23,3.60E-01
22.24,-4.95E-02
22.25,-1.65E+00
22.26,-1.75E+00
22.27,-1.46E+00
22.28,-5.16E-01
22.29,5.01E+00
22.3,7.23E+00
22.31,4.79E+00
22.32,3.05E+00
22.33,1.47E+00
22.34,-2.19E+00
22.35,-5.33E+00
22.36,-5.30E+00
22.37,-7.89E+00
22.38,-1.29E+01
22.39,-1.43E+01
22.4,-1.27E+01
22.41,-9.86E+00
22.42,-9.39E+00
22.43,-1.21E+01
22.44,-8.49E+00
22.45,1.17E+00
22.46,3.52E+00
22.47,1.22E+00
22.48,7.21E+00
22.49,1.65E+01
22.5,1.53E+01
22.51,7.16E+00
22.52,1.05E+00
22.53,-1.37E+00
22.54,-8.61E-01
22.55,-5.07E+00
22.56,-8.24E+00
22.57,-4.27E+00
22.58,-8.33E+00
22.59,-1.54E+01
22.6,-1.22E+01
22.61,-1.08E+01
22.62,-1.37E+01
22.63,-5.42E+00
22.64,1.14E+01
22.65,1.85E+01
22.66,1.39E+01
22.67,1.44E+01
22.68,2.16E+01
22.69,1.79E+01
22.7,9.36E+00
22.71,5.08E+00
22.72,-7.86E+00
22.73,-1.79E+01
22.74,-1.48E+01
22.75,-1.41E+01
22.76,-1.30E+01
22.77,-5.58E+00
22.78,2.14E+00
22.79,1.05E+01
22.8,1.74E+01
22.81,2.05E+01
22.82,2.60E+01
22.83,3.01E+01
22.84,2.89E+01
22.85,3.07E+01
22.86,2.89E+01
22.87,2.38E+01
22.88,1.88E+01
22.89,8.36E+00
22.9,3.54E+00
22.91,7.18E-01
22.92,-8.86E+00
22.93,-1.51E+01
22.94,-1.42E+01
22.95,-5.15E+00
22.96,-2.21E+00
22.97,-6.82E+00
22.98,1.06E+00
22.99,8.80E+00
23,5.54E+00
23.01,-1.68E+00
23.02,-6.11E+00
23.03,-4.29E+00
23.04,-6.72E+00
23.05,-1.04E+01
23.06,-1.07E+01
23.07,-9.83E+00
23.08,-4.95E+00
23.09,4.48E-01
23.1,6.68E+00
23.11,1.40E+01
23.12,1.58E+01
23.13,1.55E+01
23.14,1.83E+01
23.15,1.37E+01
23.16,5.63E+00
23.17,4.58E+00
23.18,4.19E+00
23.19,5.36E+00
23.2,5.42E+00
23.21,1.76E+00
23.22,9.40E-01
23.23,-4.46E+00
23.24,-1.56E+01
23.25,-2.07E+01
23.26,-2.05E+01
23.27,-1.71E+01
23.28,-1.20E+01
23.29,-9.81E+00
23.3,-9.18E+00
23.31,-5.69E+00
23.32,1.67E+00
23.33,3.89E+00
23.34,-2.38E-01
23.35,-7.03E+00
23.36,-1.13E+01
23.37,-9.39E+00
23.38,-8.67E+00
23.39,-6.77E+00
23.4,-7.24E+00
23.41,-1.23E+01
23.42,-1.69E+01
23.43,-1.68E+01
23.44,-5.98E+00
23.45,1.39E+00
23.46,-4.66E-02
23.47,1.83E+00
23.48,1.15E+01
23.49,2.08E+01
23.5,2.68E+01
23.51,3.50E+01
23.52,3.54E+01
23.53,3.26E+01
23.54,3.19E+01
23.55,3.06E+01
23.56,3.36E+01
23.57,2.72E+01
23.58,2.19E+01
23.59,2.55E+01
23.6,1.56E+01
23.61,1.23E+00
23.62,-6.11E+00
23.63,-9.24E+00
23.64,-1.78E+01
23.65,-3.22E+01
23.66,-3.22E+01
23.67,-2.57E+01
23.68,-2.43E+01
23.69,-2.08E+01
23.7,-1.13E+01
23.71,-9.82E-01
23.72,-2.10E+00
23.73,-2.01E+00
23.74,8.49E+00
23.75,1.28E+01
23.76,6.60E+00
23.77,5.49E+00
23.78,1.34E+01
23.79,9.83E+00
